customer_id,city,state,zip
935,Cross River,NY,10518
920,Houston,TX,77057
981,NEWTON,MA,02459
886,Mendham,NJ,07945
936,"Castle Rock,",CO,80108
878,Aberdeen,NJ,07747
907,Yonkers,NY,10710
881,Point Pleasant,NJ,08742
1214,highland park,IL,60035
1525,Rockville,MD,20852
1119,San Francisco,CA,94111
1076,tacoma,WA,98417
1120,San Francisco,CA,94117
1122,Denver,CO,80220
1511,Greenwood Village,CO,80111
698,Castle Rock,CO,80108
1691,Trenton,MO,64683
883,Chicago,IL,60610
335,San Francisco,CA,94117
750,lancaster,PA,17601
583,New York,NY,10003
648,WARMINSTER,PA,18974
760,Golden Valley,MN,55427
593,Vienna,VA,22182
756,Brooklyn,NY,11211
665,New York,NY,10028
619,Narberth ,PA,19072
650,New York,NY,10017
652,Astoria,NY,11105
748,New York,NY,10075
828,Chicago,IL,60657
667,New city,NY,10956
806,Scarsdale,NY,10583
777,Wyckoff,NJ,07481
776,Wyckoff,NJ,07481
827,New York,NY,10016
585,New York,NY,10025
757,Herzogenaurach,BY,91074
807,Philadelphia ,PA,19147
758,Philadelphia,PA,19147
774,Brooklyn ,NY,11215
1696,Penns Neck,NJ,08540
1697,North York,ON,M2P 1W1
1114,Denver,CO,80238
450,Roseville,CA,95661
739,Wilton,CT,06897
992,Pomfret Center,CT,06259
1237,Aurora,CO,80016
1164,San jose,CA,95120
508,Sartell,MN,56377
988,St louis,MO,Z63105
1234,Canby,OR,97013
620,Cheshire,CT,06410
103,Boston,MA,02118
1030,Happy Valley,OR,97086
1011,Boulder,CO,80305
858,Charleston,SC,29413
1061,Bailey,CO,80421
860,Eat Points,GA,30344
993,cambridge,MA,02138
1734,Denver,CO,80224
1737,Aurora,CO,80013
1116,Lake Oswego,OR,97034
1367,Kennett Square,PA,19348
212,Brooklyn,NY,11201
1108,Rockport,ME,04856
1074,Rockville,MD,20852
975,North Andover ,MA,01845
1106,Framingham,MA,01701
1274,College Park,GA,30337
1393,Scottsdale,AZ,85255
482,Leesburg,VA,20176
291,New York,NY,10024
1157,clarendon hills,IL,60514
1255,Littleton,CO,80120
1029,San Francisco,CA,94115
1040,Lone Tree,CO,80124
1072,Los Altos,CA,94022
542,Greenwood Village,CO,80112
943,Washington,DC,20008
1059,Parker,CO,80138
1073,Redmond,WA,98052
1041,Franklin,TN,37067
171,San Francisco,CA,94110
1060,Denver,CO,80202
1007,HARTSDALE,NY,10530
1002,Chicago,IL,60610
621,Lake Barrington,IL,60010
589,Windsor,CO,80550
605,ca,CA,92270
604,New York,NY,10003
647,san rafael,CA,94903
649,Boulder,CO,80304
476,Kirksville,MO,63501
574,Carlsbad,CA,92013
573,Chicago,IL,60661
606,washington,DC,20016
553,New York,NY,10128
609,Los Altos,CA,94024
634,Santa Fe,NM,87501
635,New York,NY,10075
668,denver,CO,80203
736,bethesda,MD,20817
761,New York,NY,10023
703,Palm Beach,FL,33480
681,drjrykmt,MD,20715
747,philadelphia,PA,19103
746,Denver,CO,80203
745,Holmen,WI,54636
787,Dublin,GA,31021
670,kidfvjodvj,PW,32932
684,portland,OR,97122
809,Bethesda,MD,20816
89,San Francisco,CA,94121
704,labette,KS,67356
731,labette,KS,67356
788,San Francisco,CA,94121
812,charlotte,NC,28207
811,AVENTURA,PA,33180
810,Houston,TX,77079
672,Centennial,CO,80016
686,Scottsdale,AZ,85260
690,Houston ,TX,77082
689,Crested Butte,CO,81224
688,Los Angeles,CA,90006
687,blackfoot,IN,83221
706,pebble beach,CA,93953
789,Lititz,PA,17543
813,Freeville,NY,13068
751,McLean,VA,22101
778,Hackettstown,NJ,07840
815,Lynnwood,WA,98046
691,Palo Alto,CA,94306
779,Austin,TX,78701
210,Cornelius,NC,28031
844,san francisco,CA,94118
949,Brooklyn,NY,11215
859,San Francisco,CA,94109
906,Los Altos,CA,94024
1016,Foresthill,CA,95631
356,san luis obispo,CA,93405
870,Lakewood,NJ,08701
922,Odessa,TX,79765
848,Franklin,TN,37064
951,Dallas,TX,75380
862,Elizabethtown,PA,17022
854,Miami Beach,FL,33139
1034,Littleton,CO,80127
832,Santa Clara,CA,95051
851,New York,NY,10065
833,Excelsior,MN,55331
836,Bakersfield,CA,93309
852,Lake Forest,CA,92630
889,Douglasville,GA,30135
973,Brookline,MA,02446
970,Hanover,MA,02339
969,Cambridge,MA,02140
968,cambridge,MA,02138
967,Nashua,NH,03063
965,Concord,MA,01742
964,Norway,ME,04268
963,Portsmouth,NH,03801
962,Brookline,MA,02446
961,Chelsea,MA,02150
960,exeter,NH,03833
959,Marblehead,MA,01945
958,brewster,MA,02631
957,Wellesley,MA,02481
956,Westford,MA,01886
955,Newton,MA,02461
954,Rockport,MA,01966
872,Ventnor City,NJ,08406
891,Pompano Beach ,FL,33069
890,Parlin,NJ,08859
365,Denver,CO,80209
978,Fairfield,CT,06824
976,Portland,OR,97212
974,Bangor,ME,04401
1046,Silverthorne,CO,90498
1042,Ashburnham,MA,01430
837,Lafayette,LA,70508
873,McLean,VA,22101
924,San Francisco,CA,94115
979,Denver,CO,80210
1051,Troy,MI,48084
1049,Austin,TX,78757
1048,Marion,MA,02738
1057,Austin,TX,78759
1055,Barrington hills,IL,60010
1054,San Francisco,CA,94102
1053,Paxton,MA,01612
1052,Denver,CO,80207
1113,cambridge,MA,02139
1136,Chevy Chase,MD,20815
1177,Ossining,NY,10562
1195,Huntington,NY,11743
1240,Fayette,ME,04349
1191,Richfield,MN,55423
1213,Ocracoke,NC,27960
1212,Atlantic City,NJ,08401
1211,Atlantic City,NJ,08401
1210,Longport,NJ,08403
1209,Chicago,IL,60614
1077,Tacoma,WA,98406
1102,Scarsdale,NY,10583
1138,San francisco,CA,94117
1241,Naples,FL,34108
1216,Waco,TX,76703
1078,Marblehead,MA,01945
1179,Encampment,WY,82325
1192,Dallas,TX,75204
1245,San Rafael,CA,94903
1244,Seattle,WA,98104
1243,Los Altos,CA,94024
1142,Rancho Santa Fe,CA,92067
1160,RALEIGH,NC,27603
1080,Bakersfield,CA,93309
1079,south san francisco,CA,94080
1103,Cary,NC,27518
1181,Ross,CA,94957
1180,Rockville,MD,20852
1246,houston,TX,77024
1161,San Francisco,CA,94123
1182,Pahrump,NV,89060
1248,eau claire,WI,54703
1107,Lexington,MA,02421
1144,Aurora,CO,80015
1219,auburn,CA,95602
1198,Warwick,RI,02886
1115,San Francisco,CA,94118
1127,Alexandria,VA,22307
1285,Portland,OR,97221
1270,Oconomowoc,WI,53066
1269,Greenville,SC,29611
1313,Saint Louis,MO,63105
1273,Purcellville,VA,20132
1287,charleston,SC,29401
1317,Carbondale,CO,81623
1275,Highlands Ranch,CO,80126
1318,Tyler,TX,75703
1326,Charlottesville,VA,22902
1355,Charlotte,NC,28211
1350,New bern,Nc,28562
918,Portland,OR,97225
1086,Austin,TX,78731
1278,Parker,CO,80138
1319,San Francisco,CA,94129
1464,Atlanta,GA,30319
1463,Novato,CA,94949
